gene,mean_importance,std_importance,variance_in_data,rank
UBA52,0.0022212926787712733,0.001141806251423579,132193393.50258885,154
PTMA,0.0022187260607620754,0.0010276121693237202,117978213.81254578,155
MGP,0.0022149160841103428,0.0011588617088063493,14702395.624687064,156
IGFBP7,0.0022100037915621057,0.000618367767797909,21305022.77008233,157
IFI6,0.002193507177416907,0.0003385655814382235,309701777.8100587,158
BMS1P20,0.002181246903373947,0.00026450674691029096,4803178701.459152,159
TUBA1B,0.0021791244909465947,0.0015250144723121684,152711589.15365595,160
RPS21,0.0021782116100540106,0.0020691503071257047,121823658.2325433,161
FOS,0.0021734231243046315,0.0008694817822010562,126290596.4948359,162
CTNNB1,0.002168035283109712,0.001164805321504108,13831094.794991639,163
RPL13,0.002167359906048114,0.0011062808963743823,421213954.8701419,164
RPS9,0.002155192416003492,0.002094153127553879,163191802.91127622,165
UBA2,0.0021518769092351204,0.0001350207116181542,20131286.11821257,166
SLC34A2,0.0021506600968684343,0.0016067095513073793,55579669.20547014,167
EIF3L,0.0021471786473610125,0.001131276034582583,13875066.10891718,168
MSN,0.002140418832273802,0.0014942736467394783,14772114.858220797,169
XBP1,0.0021299230850363986,0.0015536445999637344,21584909.202318836,170
IGFBP2,0.0021282878356373965,0.0014954247036078826,173887457.95112938,171
SORL1,0.0021262174019720387,0.0014914586301104167,30651237.117662188,172
BST2,0.002126149719780736,0.0006335430035730726,98743140.24526027,173
CALR,0.002124524116792202,0.0007338478852996021,150252783.19594395,174
LTF,0.0021227874610222387,0.0015033728042344208,40765728.526324645,175
RPL7,0.0021104786960404053,0.0009402921758087276,14017066.200443448,176
LDHB,0.002100248957337778,0.0003822846968789699,111414333.35557152,177
AP2M1,0.0020932197965979516,0.0016438861125511546,17979107.834019344,178
NUMA1,0.002089262864698941,0.00040401032134290807,19920530.260865156,179
ATP1A1,0.002088159493337659,0.0019240356540852824,45172103.495371476,180
COL6A3,0.002078863312071518,9.654041871804572e-05,62500915.93982184,181
HLA-DRB5,0.00207277498483887,0.0007964107010950978,13916304.818671906,182
STRAP,0.002066642935214606,0.0005966613218493661,19080230.895175755,183
NPC2,0.0020619773398826385,0.001922407144197854,20054637.510256417,184
IGJ,0.002059754732052021,0.0013298450265507539,14436553.524991361,185
BTF3,0.002031348815419252,0.00023200488322047084,38437354.5285163,186
C1S,0.002029589268399428,0.0005723453390968007,26008886.81601661,187
CD47,0.002013418486814174,0.001606812714225885,21742945.474074733,188
TAGLN,0.0020071018619729347,0.0014061896275585773,52566901.16229057,189
GANAB,0.0020040123376459658,0.0009457447936060033,13339408.544004025,190
