gene,mean_importance,std_importance,rank
feature_469,0.010284553451426892,0.0027413617506455005,1
feature_362,0.010197727625222272,0.00900516381251425,2
feature_225,0.009799069204657493,0.006419244438499581,3
feature_47,0.006539286138688663,0.00756689153237032,4
feature_351,0.006397863138669347,0.00786351874892296,5
feature_417,0.00624722521201746,0.004786964460921714,6
feature_456,0.0061865459138647555,0.00424655166726283,7
feature_286,0.005680688501006813,0.005205066825614002,8
feature_495,0.005607484277285254,0.0063434990505666705,9
feature_385,0.005458295039352908,0.006947260192984201,10
feature_415,0.005430224521563072,0.006232372081939163,11
feature_176,0.00541528474809871,0.0022133448023745617,12
feature_83,0.005210223607656276,0.005511072331631208,13
feature_22,0.005154829942792728,0.005819274062616207,14
feature_84,0.004941468718646151,0.0020854875101506284,15
feature_43,0.004929107724966168,0.002218206011518437,16
feature_0,0.004901798361682685,0.00031745084351008133,17
feature_363,0.004899535095098221,0.0035997300684515753,18
feature_496,0.0047476041225184736,0.004030671560794947,19
feature_423,0.004649463628606265,0.0008498195151098073,20
feature_463,0.004621647002277364,0.004170743856686969,21
feature_378,0.004593331842821557,0.00206565070802898,22
feature_131,0.00454326970808325,0.002657711641880857,23
feature_395,0.004523362805459781,0.005184976575191047,24
feature_139,0.004520128394341667,0.0008510770031170946,25
feature_452,0.004509583756948278,0.004589082460832387,26
feature_205,0.004493734299327952,0.004199708825727615,27
feature_334,0.004486164993734426,0.0043139666040356295,28
feature_188,0.004364886845798783,0.0014638480994668803,29
feature_117,0.00434788608720009,0.002426105948021235,30
feature_267,0.004213425390462708,0.004276375290883743,31
feature_319,0.004197544770719523,0.0004108382491159369,32
feature_410,0.004184318250712924,0.0025426766493965147,33
feature_90,0.004123819636448672,0.001961308060094726,34
feature_299,0.004026917655286223,0.0010648578493884853,35
feature_254,0.00401844733638508,0.003240121518717433,36
feature_460,0.003949320254086564,0.00398328251629657,37
feature_345,0.003913339811096505,0.0034183304454634073,38
feature_421,0.0038963573087012217,0.0021351971662314346,39
feature_493,0.0038621617076650817,0.0011106783623106695,40
feature_34,0.0038581779818735056,0.003335536998737838,41
feature_66,0.003838737972605413,0.003961827637332939,42
feature_451,0.0037281500845864745,0.0040154165585808,43
feature_75,0.0036671418631872964,0.001844042039375376,44
feature_354,0.003644077474058221,0.003585484865125294,45
feature_411,0.003593055872913147,0.002427720705913945,46
feature_165,0.003576056602232189,0.0022761052435180643,47
feature_305,0.003563683371062732,0.002336643603245852,48
feature_239,0.003538041051351552,0.002871719942555454,49
feature_375,0.003503147592127317,0.0007110412568223316,50
feature_263,0.0034931258965741774,0.0027276896979317915,51
feature_154,0.0034681499262337414,0.002962722864819231,52
feature_113,0.0034534480057735475,0.0036309740422678333,53
feature_200,0.0034198293311043858,0.002469335578464551,54
feature_429,0.0033866993056051943,0.001686266997926989,55
feature_67,0.003386523260614773,0.004022312515450407,56
feature_35,0.003338307017178974,0.0014894158457660327,57
feature_431,0.003334356207261375,0.0007054575310463987,58
feature_282,0.0033256056925977024,0.0033770105637329012,59
feature_204,0.0032803886308443776,0.0014902033189822808,60
feature_459,0.0032623980847178886,0.002486564691730992,61
feature_98,0.0032493743509619828,0.002471859324076398,62
feature_266,0.003237114266093776,0.0025777137572968603,63
feature_115,0.0032190654689855367,0.0029150014988018062,64
feature_10,0.003209655834181487,0.0013584247501188273,65
feature_325,0.003196857656821253,0.001967333844217605,66
feature_404,0.0031768714771271355,0.003065284519626377,67
feature_76,0.0031609852097136087,0.0017878651945540244,68
feature_432,0.003142898237573769,0.002222535659903509,69
feature_237,0.0031414182846392137,0.0021748206473987146,70
feature_243,0.003097330341745705,0.0013406626301542411,71
feature_7,0.0030954940433707543,0.0035257118274514593,72
feature_221,0.00309408406034626,0.001887934087714198,73
feature_453,0.0030858004569612736,0.00137096332213291,74
feature_145,0.003075142129346131,0.002977192388488556,75
feature_39,0.0030737729279517382,0.0027721536316407266,76
feature_400,0.0030533715622985767,0.0020602667677091214,77
feature_74,0.003022930488757328,0.0019068046416957371,78
feature_301,0.0030228559500439286,0.002446209666059771,79
feature_416,0.0030202175487326842,0.0021279114501624448,80
feature_123,0.003016384318151806,0.000783737580587313,81
feature_401,0.002998719694228239,0.0025082993869659817,82
feature_313,0.002983222671930029,0.002238009654105485,83
feature_302,0.0028691862034739882,0.00045805251803727066,84
feature_140,0.002837634274598238,0.0014377001183625761,85
feature_372,0.0028320076729578913,0.0005837892473417165,86
feature_406,0.0028285032834612332,0.0013479407416032527,87
feature_112,0.002827981006896649,0.001336548620098292,88
feature_230,0.002819542472457847,0.0021883051657883407,89
feature_79,0.0028095000239828534,0.0008501665904960369,90
feature_341,0.0028079266945316814,0.00282218247800763,91
feature_25,0.002804097032260955,0.0004969844935292733,92
feature_241,0.0027640607765406695,0.0006719441264187204,93
feature_1,0.002755084177476414,0.0023504407096926814,94
feature_330,0.0027315570757171902,0.0017565812841385808,95
feature_208,0.002716813581838612,0.0013409263767809748,96
feature_95,0.0027036406467821398,0.0015355987287122852,97
feature_468,0.002700278706899628,0.0019201977677513061,98
feature_259,0.002681620319053612,0.0018994228130393698,99
feature_181,0.002676599898817774,0.001512485438362121,100
feature_271,0.0026709482841254105,0.0009368120510165894,101
feature_59,0.002666464053144338,0.0019181584466612866,102
feature_102,0.002659212862307412,0.0022642785833958466,103
feature_379,0.0026565287370802393,0.0006726555456224122,104
feature_426,0.002639684882759123,0.0013881332956753201,105
feature_428,0.002637572028873802,0.002984142483445301,106
feature_365,0.0026250393417631274,0.0024690100156955002,107
feature_482,0.002617446259281032,0.0008793687956543357,108
feature_494,0.002568828727971923,0.001151301036656181,109
feature_223,0.0025609921428602325,0.002051959379076469,110
feature_380,0.002550874064143737,0.001225394268350575,111
feature_343,0.0025475175473525197,0.000732043496383167,112
feature_217,0.0025416548469640505,0.0012993617870547907,113
feature_224,0.0025247033083148876,0.00099206838102824,114
feature_389,0.00252388458307626,0.002540432324335543,115
feature_477,0.0024977067599140546,0.000359095772521113,116
feature_274,0.002495177780477514,0.0015185548008651746,117
feature_61,0.0024905876251242382,0.0008798369254092535,118
feature_49,0.002467212200292356,0.0019075313028569607,119
feature_284,0.0024620291860471067,0.0018036827531588643,120
feature_101,0.002447744723305748,0.0019309975043673554,121
feature_5,0.0024460297396917676,0.001964364435271375,122
feature_316,0.0024408936249435,0.0019967074385729153,123
feature_93,0.002435823517973804,0.0018354289214932962,124
feature_489,0.00240565412721785,0.002064441381959296,125
feature_82,0.002405066056286261,0.00026523991042837295,126
feature_56,0.0023986362098746003,0.002071652609257965,127
feature_11,0.002397521644625172,0.0012069988562051254,128
feature_185,0.00237739997707318,0.0017542592832539314,129
feature_279,0.002376514911031581,0.001987423591287549,130
feature_172,0.002374781486320326,0.00185301928237484,131
feature_249,0.002362760885393956,0.0011405879470107153,132
feature_355,0.0023596443854337085,0.0008487475543950958,133
feature_285,0.0023419135732553596,0.0011167206073461357,134
feature_391,0.0023385382590165845,0.0013032866641350298,135
feature_211,0.0023319088395714217,0.00020573493490416768,136
feature_26,0.00231290559149006,0.001589911739333659,137
feature_326,0.002307732755542903,0.0006956754050702557,138
feature_60,0.0023073427967880405,0.0007266674208181475,139
feature_321,0.002302284427096212,0.0007501655938941773,140
feature_419,0.0022942323101102775,0.0019256790864264788,141
feature_303,0.0022828778698037087,0.0013282681163839984,142
feature_183,0.002273159475245682,0.00050964843405043,143
feature_448,0.002267993857256229,0.0014613644088104138,144
feature_359,0.002267737081442244,0.0015188892391960324,145
feature_374,0.0022635725365455633,0.0007571019520621434,146
feature_138,0.002260961400122181,0.001578833659058436,147
feature_167,0.0022582886868528457,0.001058619791011619,148
feature_50,0.002249164744407489,0.00148008386983358,149
feature_336,0.0022387208883688156,0.0023439021340562896,150
feature_276,0.002233893710417011,0.0010802502110978155,151
feature_367,0.0022292926449217734,0.000934419730084864,152
feature_99,0.002222587192648866,0.0010161135474627172,153
feature_119,0.0022212926787712733,0.001141806251423579,154
feature_134,0.0022187260607620754,0.0010276121693237202,155
feature_461,0.0022149160841103428,0.0011588617088063493,156
feature_358,0.0022100037915621057,0.000618367767797909,157
feature_62,0.002193507177416907,0.0003385655814382235,158
feature_4,0.002181246903373947,0.00026450674691029096,159
feature_107,0.0021791244909465947,0.0015250144723121684,160
feature_129,0.0021782116100540106,0.0020691503071257047,161
feature_127,0.0021734231243046315,0.0008694817822010562,162
feature_486,0.002168035283109712,0.001164805321504108,163
feature_46,0.002167359906048114,0.0011062808963743823,164
feature_100,0.002155192416003492,0.002094153127553879,165
feature_368,0.0021518769092351204,0.0001350207116181542,166
feature_207,0.0021506600968684343,0.0016067095513073793,167
feature_485,0.0021471786473610125,0.001131276034582583,168
feature_458,0.002140418832273802,0.0014942736467394783,169
feature_353,0.0021299230850363986,0.0015536445999637344,170
feature_96,0.0021282878356373965,0.0014954247036078826,171
feature_298,0.0021262174019720387,0.0014914586301104167,172
feature_151,0.002126149719780736,0.0006335430035730726,173
feature_108,0.002124524116792202,0.0007338478852996021,174
feature_250,0.0021227874610222387,0.0015033728042344208,175
feature_479,0.0021104786960404053,0.0009402921758087276,176
feature_141,0.002100248957337778,0.0003822846968789699,177
feature_392,0.0020932197965979516,0.0016438861125511546,178
feature_371,0.002089262864698941,0.00040401032134290807,179
feature_238,0.002088159493337659,0.0019240356540852824,180
feature_193,0.002078863312071518,9.654041871804572e-05,181
feature_484,0.00207277498483887,0.0007964107010950978,182
feature_377,0.002066642935214606,0.0005966613218493661,183
feature_369,0.0020619773398826385,0.001922407144197854,184
feature_466,0.002059754732052021,0.0013298450265507539,185
feature_260,0.002031348815419252,0.00023200488322047084,186
feature_327,0.002029589268399428,0.0005723453390968007,187
feature_350,0.002013418486814174,0.001606812714225885,188
feature_219,0.0020071018619729347,0.0014061896275585773,189
feature_492,0.0020040123376459658,0.0009457447936060033,190
feature_346,0.0019933975737904982,0.0005200675461357678,191
feature_227,0.0019850246985597167,0.002178994925082955,192
feature_252,0.0019835518361062455,0.00047158021950682784,193
feature_394,0.001979672436292819,0.0008946257321558282,194
feature_231,0.0019795034516101296,0.0021191598495777053,195
feature_143,0.001975451153509653,0.0005625059701805676,196
feature_196,0.0019604057905795863,0.0014070950662569952,197
feature_169,0.001960237319359797,0.000959491393359274,198
feature_314,0.0019598480549503842,0.0010337295738299048,199
feature_436,0.0019580137421937273,0.0019224775388503373,200
feature_89,0.0019521144811192328,0.0015437035041980906,201
feature_280,0.0019381410404264363,0.0003549567014010416,202
feature_110,0.0019374790853813886,0.000988445135874594,203
