gene,importance,rank
PRSS23,0.013993336553236476,1
EMP2,0.013040434230645841,2
HNRNPC,0.01054081284477899,3
PTPRF,0.010385278165349324,4
TFRC,0.0094065474404372,5
FLNA,0.0074404750600450195,6
PTGDS,0.007429462345845638,7
RPL35,0.00722239724624912,8
MT1G,0.0069269739807191,9
RPLP2,0.006896161718876527,10
IFITM3,0.00681940059642745,11
MUC1,0.006691504998069662,12
APOL1,0.006545853798766303,13
ANPEP,0.006403614503042358,14
USF2,0.006113847581085485,15
PDIA4,0.006083365154515097,16
EEF1G,0.005677279658859927,17
JUNB,0.005542837455668902,18
TXNIP,0.005532784182962008,19
KRAS,0.00534705588831104,20
CHI3L1,0.005337091489185411,21
PKM2,0.0053281904480063,22
EEF1D,0.005156874921154868,23
C12orf35,0.005014085787728422,24
RPS8,0.005011914740580014,25
RPS21,0.005005487099776246,26
EIF3CL,0.00482019661746988,27
TMEM123,0.004775527687167283,28
CAPNS1,0.004748113323041064,29
GLUL,0.004620085924980641,30
YWHAQ,0.0044779701956301635,31
IGF2,0.004474040991203954,32
SLPI,0.004466469744850563,33
RPS29,0.004376918889483042,34
RPS12,0.004309241445051463,35
TUBA1B,0.0042991730931328034,36
RPN1,0.004259252736731059,37
MSN,0.004249362715552285,38
IGFBP2,0.004243121673308777,39
XBP1,0.004214647729717203,40
YBX1,0.004206497628036923,41
AP2M1,0.004198059796474076,42
SLC25A3,0.004184915324732791,43
SPP1,0.004178696341208852,44
HLA-DQB1,0.004118061976428055,45
MSLN,0.0041117157246580265,46
DUSP1,0.004055549046834357,47
IGFBP4,0.004009643797569777,48
SNRPD2,0.004004117311510211,49
KRT8,0.0039801233414046115,50
CYR61,0.0039477037342701,51
IGJ,0.00393860146038576,52
GAPDH,0.0038163170254383125,53
MMP11,0.0038062672060063855,54
RPSAP58,0.003771887814634481,55
HDLBP,0.003741801479134724,56
MX1,0.003738085515513024,57
CRABP2,0.00361785828551442,58
ITGB1,0.0035331772929451926,59
RPL13,0.0034816358326750924,60
CAPS,0.0034644319915940213,61
APP,0.00346206410543989,62
PAX8,0.00345151500704555,63
HP,0.0034275040610835306,64
SCGB2A1,0.0034101383998747107,65
PTMA,0.0032668294966837477,66
FOLR1,0.0032606915536895526,67
RPL32,0.0032531155313360073,68
RPS23,0.0032148550551571514,69
CRIP1,0.0032084914526158905,70
BHLHE41,0.0032060684020392698,71
DNAJB1,0.003193998009607236,72
TAPBP,0.0031817196266026217,73
LAPTM4A,0.0031477578462670384,74
NOTCH2,0.0030893995318953434,75
FTH1,0.003089131633012603,76
HDGF,0.0030633338396828624,77
PRDX1,0.0030259524817210486,78
ANXA2,0.002979681643683243,79
HMGN2,0.0029734303089857562,80
RPS3A,0.002964316724633934,81
NDRG1,0.002952002692302658,82
