gene,importance,rank
KLK5,0.018287240735696056,1
PPT1,0.01748211897829499,2
ATP6V1B1,0.011798763926624132,3
NDUFB11,0.010999168579053531,4
COL12A1,0.010447417483375177,5
GSN,0.010243811174224123,6
SCNN1A,0.009975557275333512,7
RPL27A,0.009424508690035997,8
PRSS23,0.009408063889298077,9
HSPG2,0.008578177270225076,10
EIF3E,0.008098784995945013,11
CD74,0.008028415108726383,12
CP,0.007231536347167906,13
HP,0.007109130833616482,14
DCN,0.006783361851213716,15
RPL37A,0.006718073358539661,16
PRDX6,0.006544333796666529,17
PTGDS,0.006483204208208456,18
CSDE1,0.006477040894101453,19
IGFBP4,0.006452944830311918,20
APP,0.0064296674273143515,21
HSP90AB1,0.006260308802615918,22
NAP1L1,0.006255727106405869,23
IFITM3,0.005971999194908628,24
EIF4A2,0.005894896552065798,25
CD9,0.005839292384690189,26
PRDX2,0.005825484442035375,27
EIF4B,0.0054400367202893365,28
PAX8,0.005331979171528535,29
ECH1,0.005240018033716408,30
IGF2,0.005233703658619306,31
EIF4G2,0.005171413084351892,32
YWHAE,0.005035345968460892,33
RPS15A,0.00501446112524958,34
RPS9,0.004991929101615345,35
SQSTM1,0.0049763386154565775,36
DMKN,0.004969883195712613,37
PKN1,0.004733541940261708,38
NPC2,0.004699278602581726,39
RPL41,0.004645625940180706,40
RBM3,0.004497676554325086,41
ATP5G2,0.0044269655068837985,42
SLC34A2,0.004419428303790518,43
PABPC1,0.00440413819233818,44
COX4I1,0.004399158658969795,45
CD47,0.0042850270000255545,46
RPS23,0.004236820386486078,47
SORL1,0.0042290956051354855,48
ZFP36,0.004131953056944535,49
LTF,0.00410950097043937,50
FLNA,0.004088411397918807,51
S100A13,0.004079868713621252,52
LRP1,0.004012474930041439,53
TRAM1,0.004009311557268995,54
HLA-DRA,0.004009114680918698,55
ODC1,0.00398962749188021,56
TMEM123,0.003959874961201418,57
ITM2B,0.003956469778777079,58
GNAS,0.0039019081064523386,59
ERGIC3,0.003890902777452103,60
UQCRFS1,0.003885908236475372,61
CTNNB1,0.0038012815156512913,62
MCL1,0.0037995353097953965,63
MMP7,0.003774615785255196,64
TAGLN,0.0037720254025187016,65
MSLN,0.0037438259753808634,66
SERPINH1,0.0037419734595311406,67
RPL36,0.003707898538637892,68
PLEC,0.003681637189142591,69
MYL9,0.003617914709837559,70
TAPBP,0.003568719634764807,71
MIF,0.003535588637696952,72
TPM4,0.0035252923574361295,73
RPL24,0.003468003239517951,74
OVGP1,0.003455632836561009,75
TNFAIP2,0.0034374685095241954,76
CMTM6,0.0034296819311427384,77
IGFBP3,0.0033613909079593415,78
LRIG1,0.003360597233534507,79
PTMS,0.00335182341749049,80
FOS,0.003331756619634102,81
LUM,0.00331563220918653,82
RPL23A,0.0032981889715314634,83
UBA52,0.0032883903387583126,84
TXNIP,0.0032865486154856744,85
TNFSF10,0.0032778073903445043,86
LGALS3BP,0.0032545373565162255,87
TMEM59,0.003196385291206042,88
DNAJB1,0.003192157609176295,89
RPL7A,0.0031872862143466725,90
CFL1,0.0031509153469575267,91
ATP5B,0.0031290774794195783,92
HSPB1,0.003083023980722459,93
AMY1A,0.0030316989593292113,94
MAL2,0.00300041361046978,95
RPS25,0.0029658985026192377,96
SERPINA5,0.0028868715119777085,97
HLA-DRB5,0.002867966362251598,98
ITGA3,0.0028377052960518565,99
LSR,0.002815580637460543,100
RPLP2,0.0028130375426242216,101
DHCR24,0.002755702036512222,102
KRT18,0.002738456054967031,103
COL5A2,0.0027329407965924154,104
RPL8,0.002728930548284924,105
FOLR1,0.002720106029108357,106
CYP4B1,0.0026442486219792577,107
TRIM28,0.0026311610623919643,108
RPS4X,0.0026074818074386195,109
IGFBP5,0.0026066542655292257,110
HSPA5,0.0026019517402851725,111
MYL12B,0.002582868013095098,112
HSP90B1,0.002559194400935098,113
YWHAZ,0.0025577661321533668,114
CLNS1A,0.0025385015637345767,115
EEF2,0.002535173945914905,116
RPL31,0.002510396009148045,117
HLA-E,0.0024914897012441365,118
KRT8,0.0024616870682680997,119
RPS14,0.002458286961676001,120
RPS2,0.0024477627360551877,121
RPL28,0.0024202515535930447,122
RPL17,0.002396938801328505,123
PSAP,0.0023943371609060587,124
MMP11,0.0023783857070760438,125
AGRN,0.0023616706316914433,126
SNRPD2,0.0023591081515957047,127
CALM2,0.002354278588314424,128
RPL22,0.002349095745444844,129
C1S,0.002347849720089607,130
UBA2,0.0023330326730168333,131
IFI6,0.002326417776691038,132
BMS1P20,0.002302762096841346,133
ASS1,0.0022980740236434784,134
CTSD,0.0022811647400257564,135
BTF3,0.0022647382195726735,136
CALR,0.0022581629063640925,137
SLC38A2,0.002235848199814553,138
LDHB,0.0022267878550015444,139
DSP,0.0022212259517603978,140
CAPS,0.0022136271018442922,141
RPL7,0.0022018407088022305,142
RPLP1,0.0021909165677256675,143
RPL32,0.00218259973572142,144
EIF4A1,0.002178126785012518,145
FAM60A,0.002165769053178071,146
ST14,0.0021484076260276353,147
GPX1,0.002144834876265003,148
DSG2,0.0021367869662258536,149
MARCKSL1,0.0021223081154726296,150
MDK,0.0021222861794207735,151
EEF1G,0.0021170565995116547,152
UBA1,0.0020942538327944327,153
C4A,0.0020767182873063753,154
SPINT2,0.002072947380272658,155
VIM,0.002063594302763323,156
OAZ1,0.0020329382963792616,157
FSTL1,0.0020231303966200915,158
NUMA1,0.0020229521865794066,159
MAGED2,0.0019956928160353277,160
WFDC2,0.0019934346764616598,161
GAS6,0.0019919374745771125,162
RPLP0,0.0019917612335121782,163
PDIA4,0.0019853001955165775,164
GNB2L1,0.0019757562995354975,165
COL6A3,0.001962835795486732,166
THBS1,0.0019452317433506395,167
KIAA1522,0.0019294806148248543,168
PDIA3,0.0019233725782323407,169
HSP90AA1,0.00191916575778497,170
KRAS,0.0019028816701998279,171
COL1A2,0.0019005792908807584,172
AP2M1,0.0018956557832148938,173
THY1,0.00188394333352797,174
SERF2,0.0018806017286753674,175
EMP2,0.0018796212264308527,176
SYNGR2,0.0018768857038691958,177
SRRM2,0.00186730658084762,178
PLXNB2,0.0018672131772244102,179
RPL27,0.0018604139765668257,180
RPL10A,0.0018558841398097047,181
LGALS1,0.0018537542416154718,182
RPL13A,0.0018535512964758245,183
DLK1,0.0018485444706227983,184
TIMP2,0.0018176801802948135,185
HMGN2,0.0018171889001325936,186
STMN1,0.00180621378142693,187
RPS10,0.001802130496692207,188
PEA15,0.0017976186485864657,189
SLPI,0.001795900333128474,190
GRINA,0.0017880828571449504,191
KRT5,0.0017839045454189535,192
IGFBP7,0.0017817059870611407,193
HNRNPA2B1,0.0017766153046571264,194
BCAM,0.001775557175280433,195
KRT19,0.001774977479466453,196
ATP5G3,0.0017748288812245668,197
HLA-B,0.0017666817131595258,198
STAT1,0.0017547910130900944,199
CEL,0.001749056008477376,200
SPON1,0.0017457890094928238,201
S100A16,0.0017438141500865586,202
RPS7,0.0017436606900857825,203
CRABP1,0.0017345147425079702,204
RPL37,0.001733500908096579,205
VTCN1,0.0017319610519330242,206
CTGF,0.0017279910102759133,207
IFITM1,0.0017100518662370916,208
CHI3L1,0.001704691208401637,209
CLIC1,0.0017036351202051126,210
RNASE1,0.0016944839818856068,211
XBP1,0.0016885263868294238,212
P4HB,0.0016849000875496607,213
LTBP4,0.0016823178864932837,214
CD81,0.0016803940196268416,215
RPL34,0.0016800692257234232,216
EIF1,0.0016734796131451946,217
CTSB,0.0016732044903856713,218
RPL12,0.0016631720902901667,219
HSPA8,0.0016359209282349066,220
RPL35,0.0016305757949442252,221
BSG,0.0016256469700685835,222
GSTP1,0.0016147278839429846,223
HLA-DPB1,0.0016111428786382586,224
ARF1,0.001606784107783121,225
ITGB1,0.001601095188549962,226
PRKCSH,0.0015875722691793338,227
CFB,0.001574099112337651,228
RPS19,0.001560545437303883,229
STRAP,0.0015585862716361368,230
THSD4,0.0015494092247046887,231
RPL3,0.0015470675096591886,232
RPS12,0.0015401176450725012,233
H3F3B,0.0015329680586746307,234
RPL18,0.0015328103148492848,235
LY6E,0.0015177821370875577,236
ACTA2,0.001515704398691333,237
EEF1D,0.001511387819720116,238
SERPING1,0.0015041034573244569,239
LYPD1,0.0015035396050839837,240
LDHA,0.001503138621004812,241
ACTN4,0.0014881577189614643,242
NOTCH2,0.0014862142003572074,243
TPI1,0.0014742623822165365,244
HDLBP,0.0014599624335210556,245
TGM2,0.0014591996444188538,246
RPS11,0.001458339539517364,247
LCN2,0.0014495475748512398,248
APLP2,0.0014439086096216616,249
RPL18A,0.0014275278011333977,250
HLA-C,0.0014195184284933023,251
RPS21,0.001417995221692294,252
EIF3K,0.0014091399517081535,253
FAU,0.0014028218953484758,254
PAM,0.0013946940274403889,255
RPS8,0.0013938853362114876,256
EIF3L,0.0013871970585700917,257
NDUFC2,0.0013794008872105535,258
NCRNA00188,0.0013767081471535948,259
MUC16,0.0013734797471338844,260
BCAT1,0.0013655300944780567,261
KLK7,0.0013621639395044252,262
ORMDL3,0.0013589914576101357,263
RPL14,0.0013442944485819077,264
EIF3H,0.0013383804145179407,265
KLK6,0.0013359557484484883,266
EPCAM,0.0013334766010975744,267
ALPPL2,0.0013231633995222944,268
AHCY,0.001317820540633795,269
C3,0.001303500147680667,270
RPSAP58,0.001300475351095381,271
RPL35A,0.0012958420980572073,272
GPI,0.0012916242282137234,273
CD24,0.0012870896277645543,274
MGP,0.00128583591559567,275
SNRNP200,0.0012640409902810298,276
NOTCH3,0.0012571362086168986,277
ALDOA,0.0012549198077487682,278
TGFBI,0.0012527087377286964,279
SLC25A6,0.0012511932880248523,280
ENO1,0.001241648585489392,281
BST2,0.0012309780282833901,282
CRABP2,0.0012272201479391627,283
MT1G,0.0012158262531568223,284
SRP14,0.001215325550012655,285
S100A6,0.001213693652986696,286
ELF3,0.0012027979400680146,287
MSN,0.001202340060094161,288
TM4SF1,0.0012014785530455817,289
APOL1,0.001198162730916562,290
PGK1,0.0011969357271442176,291
IGJ,0.0011923238712092281,292
SLC25A5,0.001190212270533646,293
MYH9,0.001186291507385152,294
PCBP2,0.0011796588386780553,295
ATP1A1,0.0011780304163810083,296
COL5A1,0.001176261790469417,297
TUBB,0.0011730473219986963,298
RPL30,0.0011692180998440903,299
PPP1R1B,0.0011684216649596182,300
PLP2,0.0011683279565448347,301
TUBB2C,0.0011674080476138885,302
HLA-DPA1,0.001145570217082259,303
GRN,0.0011454585370456283,304
PQBP1,0.0011357167786777177,305
CSRP1,0.001122851730722267,306
PPP1CB,0.001119056491082052,307
MFGE8,0.001118823238625785,308
EIF4G1,0.0011168708392768683,309
RPS3A,0.0011103433298996744,310
KLK10,0.0011075024919390308,311
ADAM6,0.0011008305566358434,312
IFIT1,0.001094703165214515,313
RPS29,0.0010929327995348452,314
DUSP1,0.001087607481115141,315
ISG15,0.0010817666795339183,316
TMSL3,0.0010814345656544675,317
SCGB2A1,0.0010753646125079876,318
SOD2,0.0010707935306908808,319
H19,0.0010694922253459574,320
IGFBP2,0.0010637333036718041,321
CRIP1,0.0010598706335491863,322
RPS16,0.0010531104694175182,323
RPL29,0.0010465573115776671,324
RPS17,0.0010357233582056528,325
CYR61,0.0010305862403163567,326
RPS6,0.0010259603686718236,327
GAPDH,0.001025808621817635,328
GAS5,0.0010217994828689639,329
ZFP36L1,0.001020169545185789,330
FTH1,0.0010163961553116489,331
IER2,0.0010085369149679833,332
RPL10,0.0010025777185012818,333
MUC1,0.0010001658335518815,334
CANX,0.0009948104600306475,335
