gene,importance
feature_362,0.02265609823508357
feature_47,0.01720361735680148
feature_385,0.015281436508690356
feature_495,0.014577288245064823
feature_415,0.01421942029753417
feature_22,0.013343028674931702
feature_83,0.013003763767758645
feature_417,0.012030276160867256
feature_334,0.010571707579503507
feature_463,0.010508564402830977
feature_460,0.009496827640375547
feature_67,0.009073607736827343
feature_354,0.0086452018024571
feature_254,0.008576641070325582
feature_113,0.008558920394224257
feature_34,0.008543196185456611
feature_225,0.008343039533724826
feature_131,0.008279241680765303
feature_43,0.00787001779482403
feature_456,0.007591321327044717
feature_154,0.0074681278111102655
feature_469,0.007452259911746126
feature_404,0.007436503855915788
feature_263,0.007129657670822161
feature_428,0.00684000988087693
feature_266,0.006818342342404609
feature_341,0.00679493382689459
feature_378,0.006591278107103292
feature_301,0.00642194240729079
feature_305,0.0062087940157549105
feature_410,0.006134608115767246
feature_365,0.006116196545641592
feature_416,0.005996216610960455
feature_1,0.00588807117026875
feature_325,0.005864910402979284
feature_221,0.005722459540473305
feature_74,0.0057105278832082365
feature_139,0.0057048434829861105
feature_237,0.005585968883932855
feature_429,0.005584484184563032
feature_223,0.0053465033913197854
feature_59,0.005258402975003113
feature_5,0.0052240233126089695
feature_423,0.00516489670724471
feature_279,0.005147265128653734
feature_10,0.005060811481282645
feature_0,0.004997650435224794
feature_493,0.004788389933976464
feature_238,0.004763948822226898
feature_181,0.0047357064013469
feature_93,0.004694787834952458
feature_432,0.0046805813896802426
feature_172,0.0046479007725416105
feature_436,0.004606123999114475
feature_274,0.004567977971500068
feature_138,0.0044367678777384074
feature_375,0.0044364721028450835
feature_400,0.004397478437178985
feature_140,0.004196501365883703
feature_243,0.00419625039174056
feature_185,0.004180197238916881
feature_453,0.004119360993183926
feature_333,0.004115464442686777
feature_217,0.0041020361214904886
feature_114,0.00409616806493804
feature_11,0.004060226034624529
feature_391,0.004022744177715712
feature_248,0.004004240333498487
feature_303,0.0039481065513245935
feature_196,0.003930918490278828
feature_285,0.00392103637976765
feature_482,0.003860662174932771
feature_319,0.0038572316637898673
feature_461,0.003848664541824232
feature_261,0.0038155867555795375
feature_218,0.0037733337171967913
feature_485,0.0037463901716308715
feature_317,0.0036887715517883593
feature_95,0.003673013054887158
feature_61,0.003671454840506173
feature_431,0.0036398431586782097
feature_35,0.00360912097474542
feature_434,0.0036071024495207306
feature_343,0.00357580945495781
feature_25,0.0034867822796299207
feature_123,0.0034207758298407265
feature_200,0.0033529076443794313
feature_321,0.003312090070930083
feature_299,0.0032614201674109867
feature_479,0.0032136944651788377
feature_367,0.003206177213025361
feature_188,0.003202929004642107
feature_372,0.003189019621202166
feature_168,0.003186021305096586
feature_394,0.0031736006473749847
feature_204,0.0031729031516581495
feature_300,0.0031718993195037288
feature_358,0.003084447164008873
feature_30,0.0030509961295674816
feature_477,0.002991601134275412
feature_360,0.0029799824666472447
feature_108,0.0029489984915230002
feature_347,0.0028762418388761685
feature_330,0.0028519498703046407
feature_409,0.0028176428889317624
feature_244,0.0028144930743232727
feature_308,0.0028130603445001576
feature_271,0.002811080939720453
feature_49,0.0027560106606963623
feature_379,0.002749924877262361
feature_459,0.0027151301127254553
feature_125,0.0027077921961294526
feature_363,0.0026970593501993746
feature_208,0.002680589056497948
feature_345,0.002679530730819108
feature_257,0.00266514244574417
feature_90,0.0026622596478452676
feature_326,0.0026606419742692643
feature_180,0.0026551866570934213
feature_252,0.002649594204918551
feature_411,0.002636367384863519
feature_497,0.002635812377810899
feature_371,0.0026138840521173663
feature_75,0.0026100380015116214
feature_134,0.002566505488448257
feature_151,0.0025410883892208616
feature_241,0.002519290113493451
feature_413,0.002494758143300782
feature_141,0.002492175416588665
feature_426,0.002449316955918202
feature_291,0.002437641800983457
feature_492,0.002422447479820372
feature_157,0.0023690674420102334
feature_57,0.0023584921773147174
feature_176,0.0023331876902420333
feature_462,0.0023232801789193295
feature_211,0.002305373457478769
feature_171,0.0022858791970889083
feature_46,0.0022452697126387026
feature_302,0.0022214029916384345
feature_352,0.002214761853699386
feature_38,0.0022140695137417184
feature_165,0.0022087879857607923
feature_258,0.0022078928463156802
feature_193,0.002199193121392188
feature_205,0.0021988190997087936
feature_15,0.002170012870089257
feature_338,0.002124451694940775
feature_286,0.002122010045943748
feature_253,0.002119174534078267
feature_128,0.0021183137246079554
feature_322,0.00211616687029226
feature_368,0.0021135755114007437
feature_240,0.0020966706744153735
feature_346,0.0020795807570869805
feature_454,0.0020760596100321584
feature_98,0.0020564522212644046
feature_82,0.0020406198810978458
feature_84,0.0020330063646023786
feature_115,0.0020319201933250764
feature_382,0.0020261227910987325
feature_187,0.002026079762926168
feature_79,0.001986689662275848
feature_370,0.0019817632860479354
feature_390,0.001963928861889617
feature_315,0.001925808256889746
feature_439,0.0018883228419973059
feature_414,0.0018850456996155076
feature_36,0.0018760057773389489
feature_69,0.0018695892810768038
feature_420,0.0018660146764376104
feature_496,0.001837984922035056
feature_111,0.001824828298130507
feature_283,0.001824121398931894
feature_99,0.0018226831444930157
feature_251,0.0018178390462900778
feature_406,0.0018165099995613551
feature_4,0.0018141051163512694
feature_144,0.001812637179774544
feature_272,0.0018037340815241752
feature_262,0.0017870397369528907
feature_478,0.0017633486274096785
feature_448,0.0017514729221304525
feature_289,0.0017514570495810347
feature_311,0.0017391619385247576
feature_377,0.0017372195385535044
feature_275,0.0017370648117009803
feature_62,0.001728691414314468
feature_143,0.0017195861656552113
feature_430,0.0017156857871887172
feature_307,0.0017150781751295217
feature_260,0.001714938219435973
feature_281,0.0017073170731707378
feature_316,0.0016988982887535607
feature_407,0.0016907472027186381
feature_76,0.0016886193707692444
feature_110,0.0016846022797440514
feature_293,0.0016688966957189538
feature_77,0.0016688175445549497
feature_320,0.0016548424592290267
feature_445,0.0016329172095377689
feature_183,0.00160943911119268
feature_387,0.001582727009718918
feature_179,0.0015749392128706031
feature_418,0.0015687604148937027
feature_486,0.0015372540712173094
feature_487,0.0015360283610741463
feature_280,0.001532333966436387
feature_164,0.0015290261718012986
feature_287,0.0015268610256028508
feature_393,0.0015226275237576533
feature_117,0.0015147718036364413
feature_97,0.0014879274547108848
feature_60,0.0014863131233066938
feature_277,0.0014751229716489583
feature_294,0.0014670212719706012
feature_107,0.00146195461146501
feature_374,0.0014593006132489449
feature_65,0.0014512736105450174
feature_442,0.00142556719729561
feature_186,0.0014117585025775372
feature_55,0.0014017169543845535
feature_355,0.0014008740628628118
feature_314,0.0013940411524684547
feature_42,0.001393392751083927
feature_224,0.0013894570118622343
feature_229,0.0013887376195911882
feature_386,0.001380447809653898
feature_366,0.001343566965392188
feature_318,0.00132632321701389
feature_452,0.001323811478096557
feature_109,0.0013199907400541925
feature_268,0.0013152287588193586
feature_51,0.0013058405426238488
feature_31,0.0012927993599890389
feature_85,0.0012535523348172963
feature_401,0.0012521425530018513
feature_64,0.001251237176997905
feature_126,0.0012460794288740127
feature_127,0.001236911319912304
feature_8,0.0012359777817677212
feature_201,0.0012332096138113386
feature_331,0.0012332018697049408
feature_215,0.001229147929840801
feature_20,0.0012276628998942206
feature_421,0.0012264832982219708
feature_327,0.0012259425614258726
feature_381,0.0012175412379728029
feature_298,0.001216555290735421
feature_435,0.001204203461525979
feature_156,0.00120226982325498
feature_182,0.001193004468680997
feature_342,0.0011820869237908645
feature_220,0.001151162468823508
feature_162,0.0011485990330069066
feature_398,0.0011455880319643963
feature_105,0.0011352563907346589
feature_438,0.0011345729308846974
feature_130,0.0011199601791936355
feature_16,0.001119249946223908
feature_455,0.0011121856643158273
feature_96,0.0010780085299316085
feature_288,0.001076550150208387
feature_202,0.0010599033478209524
feature_80,0.0010596447158580525
feature_419,0.001053291751451839
feature_466,0.0010483388645610749
feature_124,0.0010429503111617383
